periodo,tarifa,subsidio,tipo
2022-01-01,3896,1596,1
2022-01-01,5314,1914,3
2022-02-01,3696,1396,1
2022-02-01,4935,1535,3
2022-03-01,3531,1231,1
2022-03-01,4630,1230,3
2022-04-01,4075,1775,1
2022-04-01,5353,1953,3
2022-05-01,4042,1742,1
2022-05-01,5270,1870,3
2022-06-01,4176,1876,1
2022-06-01,5620,2220,3
2022-07-01,4400,2100,1
2022-07-01,5729,2329,3
2022-08-01,4252,1952,1
2022-08-01,5502,2101,3
2022-09-01,4343,2043,1
2022-09-01,5675,2275,3
2022-10-01,4314,2014,1
2022-10-01,5636,2236,3
2022-11-01,4466,2166,1
2022-11-01,5589,2189,3
2022-12-01,4133,1833,1
2022-12-01,5408,2008,3